class,striking_to_grappling_attempts_ratio
Hybrid Grappler,1.9
Hybrid Grappler,1.9
Hybrid Grappler,1.9
Hybrid Grappler,1.9
Grappler,1.88
Hybrid Grappler,1.88
Hybrid Grappler,1.88
Hybrid Grappler,1.88
Striker,1.88
Hybrid Grappler,1.87
Hybrid Grappler,1.87
Hybrid Grappler,1.86
Hybrid Grappler,1.84
Hybrid Grappler,1.83
Hybrid Striker,1.83
Hybrid Grappler,1.83
Hybrid Grappler,1.82
Hybrid Grappler,1.8
Hybrid Grappler,1.8
Hybrid Grappler,1.78
Hybrid Grappler,1.76
Hybrid Grappler,1.71
Hybrid Grappler,1.71
Grappler,1.7
Hybrid Grappler,1.7
Hybrid Grappler,1.69
Hybrid Grappler,1.69
Hybrid Grappler,1.67
Hybrid Grappler,1.67
Hybrid Grappler,1.67
Hybrid Grappler,1.67
Hybrid Grappler,1.66
Hybrid Grappler,1.66
Hybrid Grappler,1.65
Hybrid Grappler,1.63
Striker,1.62
Hybrid Striker,1.61
Hybrid Grappler,1.58
Hybrid Grappler,1.58
Hybrid Grappler,1.58
Hybrid Grappler,1.57
Hybrid Grappler,1.56
Hybrid Grappler,1.55
Hybrid Grappler,1.54
Hybrid Grappler,1.54
Hybrid Grappler,1.52
Hybrid Grappler,1.52
Hybrid Grappler,1.52
Hybrid Grappler,1.51
Hybrid Grappler,1.5
Hybrid Grappler,1.5
Hybrid Grappler,1.49
Hybrid Grappler,1.49
Hybrid Grappler,1.49
Hybrid Grappler,1.48
Hybrid Striker,1.48
Hybrid Grappler,1.47
Hybrid Grappler,1.47
Hybrid Grappler,1.47
Striker,1.46
Hybrid Grappler,1.45
Hybrid Grappler,1.45
Hybrid Grappler,1.45
Hybrid Grappler,1.45
Hybrid Grappler,1.44
Hybrid Grappler,1.43
Hybrid Striker,1.41
Hybrid Grappler,1.39
Hybrid Striker,1.38
Hybrid Grappler,1.37
Hybrid Grappler,1.36
Hybrid Grappler,1.34
Hybrid Grappler,1.34
Hybrid Grappler,1.34
Hybrid Grappler,1.33
Hybrid Grappler,1.33
Hybrid Grappler,1.33
Hybrid Grappler,1.32
Grappler,1.32
Grappler,1.3
Hybrid Grappler,1.3
Hybrid Grappler,1.29
Hybrid Grappler,1.25
Hybrid Grappler,1.25
Grappler,1.25
Hybrid Grappler,1.24
Hybrid Grappler,1.23
Hybrid Grappler,1.23
Hybrid Grappler,1.22
Hybrid Grappler,1.19
Hybrid Striker,1.18
Hybrid Grappler,1.17
Hybrid Grappler,1.16
Hybrid Grappler,1.15
Hybrid Grappler,1.14
Hybrid Grappler,1.14
Hybrid Grappler,1.13
Hybrid Grappler,1.11
Hybrid Grappler,1.1
Grappler,1.08
Hybrid Grappler,1.08
Hybrid Grappler,1.07
Hybrid Grappler,1.06
Hybrid Grappler,1.06
Hybrid Grappler,1.05
Hybrid Grappler,1.05
Hybrid Grappler,1
Hybrid Grappler,1
Hybrid Grappler,0.91
Hybrid Grappler,0.89
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Hybrid Striker,0
Hybrid Striker,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
Hybrid Grappler,0
