Name,class,striking_to_grappling_attempts_ratio,striking_to_grappling_time_ratio
Heather Jo Clark,Hybrid Grappler,6.64,513.29
Johny Hendricks,Striker,6.6,4.01
Johnny Eduardo,Hybrid Grappler,6.59,532.33
Alex Chambers,Hybrid Grappler,6.55,20.38
Rick Story,Hybrid Grappler,6.54,11.84
Maycee Barber,Hybrid Striker,6.5,23
Roman Salazar,Hybrid Grappler,6.5,665.67
Randy Brown,Hybrid Grappler,6.45,11.99
Chris Gruetzemacher,Hybrid Grappler,6.44,412.79
Jack Marshman,Hybrid Grappler,6.42,639
Nicolas Dalby,Hybrid Striker,6.41,34.64
Walt Harris,Striker,6.41,29
Eddie Wineland,Hybrid Grappler,6.35,39
T.J. Dillashaw,Striker,6.33,17.63
Jared Cannonier,Striker,6.27,52.89
Zak Cummings,Hybrid Grappler,6.22,6.45
Nicco Montano,Hybrid Grappler,6.2,39
Chad Mendes,Striker,6.19,12.78
Thales Leites,Hybrid Grappler,6.19,11.37
Alexandre Pantoja,Hybrid Grappler,6.17,12.51
Bevon Lewis,Hybrid Grappler,6.13,53.55
Matt Schnell,Hybrid Grappler,6.06,50.34
Sergio Moraes,Hybrid Grappler,6.04,5.97
Chris Dempsey,Hybrid Grappler,6.04,101.86
Tecia Torres,Grappler,6.03,7.55
Norman Parke,Hybrid Grappler,6.02,17.33
Henry Cejudo,Striker,6.01,7.24
Ed Herman,Hybrid Grappler,6.01,46.65
Mike Jackson,Hybrid Grappler,6,31
Joe Soto,Hybrid Grappler,5.98,20.32
Sean Strickland,Hybrid Grappler,5.98,11.61
Ricardo Lamas,Hybrid Striker,5.97,8.36
Dustin Poirier,Hybrid Striker,5.97,10.99
Darren Stewart,Hybrid Grappler,5.95,33.74
Mike Perry,Striker,5.94,20.89
Francisco Trevino,Hybrid Grappler,5.93,70.79
Jessica Aguilar,Hybrid Grappler,5.92,30.3
Cody Gibson,Hybrid Grappler,5.9,37.16
Ashlee Evans-Smith,Hybrid Grappler,5.9,13.8
Joby Sanchez,Hybrid Grappler,5.88,8.88
Rafael Feijao,Hybrid Grappler,5.88,71
Isaac Vallie-Flagg,Hybrid Grappler,5.86,359
Jorge Masvidal,Striker,5.85,4.5
Andre Soukhamthath,Hybrid Grappler,5.84,39
Abel Trujillo,Hybrid Grappler,5.8,17.11
Conor McGregor,Striker,5.8,13.08
Nico Musoke,Hybrid Grappler,5.79,8.93
Tony Martin,Hybrid Grappler,5.77,7.99
Jessica-Rose Clark,Hybrid Grappler,5.76,12.47
Paul Felder,Striker,5.76,6.5
Johnny Bedford,Hybrid Grappler,5.75,31
Lyman Good,Hybrid Grappler,5.75,199
Will Brooks,Hybrid Grappler,5.73,24.53
Joe Gigliotti,Hybrid Grappler,5.71,110.63
Mitch Clarke,Hybrid Grappler,5.71,63
Nina Ansaroff,Hybrid Striker,5.7,10.63
Ronda Rousey,Hybrid Grappler,5.69,226.03
Devin Powell,Hybrid Grappler,5.68,94.45
Ryan Benoit,Striker,5.67,85.75
Bobby Nash,Hybrid Grappler,5.66,19.13
Patrick Williams,Hybrid Grappler,5.63,62.37
David Branch,Hybrid Grappler,5.62,26.59
Chris Camozzi,Hybrid Grappler,5.6,13.91
Viviane Pereira,Hybrid Grappler,5.59,62.72
Marion Reneau,Hybrid Striker,5.57,20.08
Li Jingliang,Hybrid Grappler,5.53,186.12
Urijah Faber,Hybrid Grappler,5.53,15.15
Anthony Johnson,Striker,5.52,17.92
Blagoy Ivanov,Hybrid Grappler,5.5,39
Abdul-Kerim Edilov,Hybrid Grappler,5.5,15
Kyle Stewart,Hybrid Grappler,5.5,15
Raoni Barcelos,Hybrid Grappler,5.5,23
Shelton Graves,Hybrid Grappler,5.5,23
Gilbert Burns,Hybrid Grappler,5.48,5.32
