Name,estimated_minutes,submission_wins_final,ko_tko_wins_final,StrikingAttemptsToGrapplingAttempts_Ratio,PercentRank_StrikingtoGrappingAttemps_Ratio,StrikingToGrapplingTime_Ratio,PercentRank_StrikingToGrappingTime_Ratio,manual_stat_entry,classification
Marcel Fortuna,35,0,0,58.67,0.97,55,0.77,0,Striker
Marcelo Golm,20,0,0,1.84,0.25,31,0.59,0,Grappler
Marcelo Guimaraes,25,0,0,19.33,0.88,544.45,0.95,0,Striker
Marcin Bandel,15,0,0,7,0.71,23,0.44,0,Striker
Marcin Held,60,0,0,3.35,0.45,10.77,0.24,0,Grappler
Marcin Prachnio,10,0,0,45,0.96,15,0.3,0,Striker
Marcin Tybura,110,6,7,3.48,0.47,9.85,0.21,1,Striker
Marcin Wrzosek,15,0,0,0,0,23,0.44,0,Grappler
Marcio Alexandre,15,0,0,0,0,23,0.44,0,Grappler
Marcio Alexandre Junior,30,0,0,4.89,0.59,174.61,0.9,0,Grappler
Marco Beltran,70,4,4,2.79,0.4,93.38,0.83,1,Grappler
Marcos Rogerio de Lima,40,0,0,1.91,0.27,11.72,0.26,0,Grappler
Marcus Brimage,40,0,0,26.7,0.92,134.21,0.87,0,Striker
Marina Rodriguez,15,0,0,0,0,23,0.44,0,Grappler
Marion Reneau,120,3,5,5.57,0.63,20.08,0.41,1,Striker
Mark Bocek,15,0,0,0,0,23,0.44,0,Grappler
Mark Cherico,5,0,0,0,0,7,0.11,0,Grappler
Mark De La Rosa,20,0,0,2,0.29,159,0.89,0,Grappler
Mark Eddiva,45,0,0,4.16,0.54,11.31,0.25,0,Grappler
Mark Godbeer,35,0,0,24.29,0.91,55,0.77,0,Striker
Mark Hunt,125,0,10,10.58,0.8,35.72,0.66,1,Striker
Mark Munoz,25,0,7,1.46,0.21,749,0.96,1,Striker
Markus Perez,35,0,0,3.02,0.43,42.64,0.7,0,Grappler
Marlon Moraes,40,6,10,42.88,0.95,134.21,0.87,1,Striker
Marlon Vera,115,8,4,3.54,0.48,21.62,0.43,1,Grappler
Martin Bravo,30,0,0,32.63,0.94,47,0.72,0,Striker
Martin Svensson,10,0,0,0,0,15,0.3,0,Grappler
Marvin Vettori,65,8,2,2.84,0.4,9.78,0.21,1,Grappler
Maryna Moroz,80,5,1,7.29,0.72,58.81,0.78,1,Grappler
Masanori Kanehara,40,0,0,2.03,0.29,9.11,0.2,0,Grappler
Masio Fullen,35,0,0,22.64,0.91,84.71,0.83,0,Striker
Matheus Nicolau,50,0,0,2.76,0.39,11.48,0.25,0,Grappler
Mats Nilsson,20,0,0,64,0.97,31,0.59,0,Striker
Matt Bessette,35,0,0,282,1,55,0.77,0,Striker
Matt Brown,100,6,13,4.11,0.53,15.32,0.36,1,Striker
Matt Dwyer,40,0,0,10.7,0.8,959,0.97,0,Striker
Matt Frevola,15,0,0,2.64,0.36,17.14,0.38,0,Grappler
Matt Hobar,35,0,0,1.7,0.24,15.29,0.35,0,Grappler
Matt Mitrione,35,0,0,8.33,0.75,181.61,0.9,0,Striker
Matt Sayles,15,0,0,0,0,23,0.44,0,Grappler
Matt Schnell,40,0,0,6.06,0.67,50.34,0.75,0,Grappler
Matt Van Buren,20,0,0,10,0.78,31,0.59,0,Striker
Matt Wiman,15,0,0,0,0,23,0.44,0,Grappler
Matthew Lopez,60,0,0,1.91,0.27,4.59,0.07,0,Grappler
Mauricio Rua,70,1,21,3.7,0.49,21.92,0.43,1,Striker
Max Griffin,65,0,0,4.2,0.54,399,0.94,0,Grappler
Max Holloway,155,2,10,8.75,0.76,5.24,0.08,1,Striker
Maximo Blanco,60,0,8,4.4,0.56,8.16,0.18,1,Striker
Maycee Barber,15,2,4,6.5,0.69,23,0.44,1,Striker
Mayra Bueno Silva,5,0,0,0,0,7,0.11,0,Grappler
Megan Anderson,15,0,0,0,0,23,0.44,0,Grappler
Mehdi Baghdad,20,0,0,3,0.42,31,0.59,0,Grappler
Melinda Fabian,30,0,0,87.5,0.98,47,0.72,0,Striker
Melvin Guillard,15,2,21,0,0,23,0.44,1,Striker
Merab Dvalishvili,45,0,0,4.86,0.59,31.43,0.64,0,Grappler
Michael Bisping,170,3,17,25.28,0.92,88.28,0.83,1,Striker
Michael Chiesa,75,11,0,1.88,0.26,2.42,0.02,1,Grappler
Michael Cora,15,0,0,0,0,23,0.44,0,Grappler
Michael Graves,40,0,0,1.39,0.2,10.97,0.24,0,Grappler
Michael Johnson,115,2,8,43.16,0.95,53.44,0.76,1,Striker
Michael McBride,25,0,0,1.76,0.25,221.22,0.91,0,Grappler
Michael McDonald,15,0,0,4.67,0.57,359,0.93,0,Grappler
Michael Trizano,15,0,0,0,0,23,0.44,0,Grappler
Michal Oleksiejczuk,15,0,0,0,0,23,0.44,0,Grappler
Michel Prazeres,125,11,1,3,0.43,8.61,0.19,1,Grappler
Michel Quinones,25,0,0,79,0.98,39,0.67,0,Striker
Michelle Waterson,75,9,3,2.27,0.32,4.08,0.05,1,Grappler
Michinori Tanaka,75,6,0,1.7,0.24,8.39,0.18,1,Grappler
Mickael Lebout,45,0,0,6.8,0.7,27.02,0.57,0,Grappler
Mickey Gall,40,5,0,1.08,0.18,9,0.2,1,Grappler
Miesha Tate,105,7,3,2.64,0.37,4.45,0.06,1,Grappler
Mike de la Torre,55,5,7,19.42,0.89,506.69,0.95,1,Striker
Mike Easton,30,0,0,19.33,0.88,47,0.72,0,Striker
Mike Jackson,20,0,0,6,0.67,31,0.59,0,Grappler
Mike King,10,0,0,0,0,15,0.3,0,Grappler
Mike Perry,95,0,11,5.94,0.66,20.89,0.42,1,Striker
Mike Pierce,15,0,0,0,0,23,0.44,0,Grappler
Mike Pyle,70,16,7,3.59,0.48,11.28,0.25,1,Grappler
Mike Rhodes,35,0,0,25.13,0.91,465.67,0.94,0,Striker
Mike Rio,10,0,0,0,0,15,0.3,0,Grappler
Mike Rodriguez,20,0,0,10,0.78,31,0.59,0,Striker
Mike Santiago,35,0,0,4.85,0.59,33.43,0.65,0,Grappler
Mike Swick,15,3,8,0,0,23,0.44,1,Striker
Mike Wilkinson,20,0,0,2.29,0.32,31,0.59,0,Grappler
