Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Anderson Silva,80,0,0,977.0,504.0,964.0,491.0,1834.0,764.0,16.0,12.0,0.0,0.0,0.0,50.0,15.0,0.058333333333333334,16.0,79.94166666666666,61.0625,1370.4285714285713
Andre Ewell,15,0,0,0.0,0.0,0.0,0.0,1239.0,444.0,0.0,0.0,0.0,0.0,0.0,26.0,9.0,0.625,1.0,14.375,0.0,23.0
Andre Fili,125,2,1,4855.0,2160.0,4353.0,1740.0,3643.0,1539.0,860.0,537.0,8.0,253.0,105.0,115.0,44.0,19.4375,1121.0,105.5625,4.330954504906334,5.430868167202572
Andre Soukhamthath,55,0,1,712.0,330.0,611.0,244.0,1241.0,571.0,119.0,102.0,0.0,3.0,0.0,17.0,7.0,1.375,122.0,53.625,5.836065573770492,39.0
Andrea Lee,15,0,0,0.0,0.0,0.0,0.0,41.0,23.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Andreas Stahl,20,0,0,133.0,76.0,117.0,60.0,289.0,93.0,2.0,2.0,0.0,1.0,0.0,6.0,1.0,0.625,3.0,19.375,44.333333333333336,31.0
Andrei Arlovski,150,0,2,5468.0,3040.0,4417.0,2090.0,2590.0,1355.0,501.0,459.0,0.0,55.0,14.0,73.0,21.0,2.9,556.0,147.1,9.83453237410072,50.724137931034484
Andrew Craig,25,0,0,114.0,56.0,67.0,16.0,8.0,3.0,50.0,43.0,0.0,1.0,0.0,0.0,0.0,0.025,51.0,24.975,2.235294117647059,999.0
Andrew Holbrook,45,0,0,626.0,462.0,280.0,150.0,961.0,414.0,312.0,274.0,14.0,16.0,4.0,53.0,20.0,5.133333333333334,342.0,39.86666666666667,1.8304093567251463,7.766233766233766
Andrew Sanchez,75,0,0,1765.0,1030.0,1175.0,568.0,1070.0,537.0,705.0,563.0,0.0,75.0,35.0,34.0,14.0,12.154166666666667,780.0,62.84583333333333,2.2628205128205128,5.170723345903325
Andy Enz,35,0,0,689.0,189.0,679.0,180.0,145.0,51.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,0.058333333333333334,4.0,34.94166666666667,172.25,599.0
Andy Ogle,35,1,0,274.0,146.0,214.0,86.0,108.0,44.0,70.0,64.0,0.0,9.0,3.0,6.0,3.0,1.0875,79.0,33.9125,3.4683544303797467,31.183908045977017
Angel De Anda,5,1,0,0.0,0.0,0.0,0.0,51.0,24.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.625,1.0,4.375,0.0,7.0
Angela Hill,110,1,0,4099.0,2384.0,3436.0,1796.0,3015.0,1234.0,327.0,273.0,0.0,12.0,4.0,38.0,21.0,1.6541666666666666,339.0,108.34583333333333,12.091445427728614,65.49874055415617
Angela Magana,40,0,0,328.0,95.0,314.0,82.0,204.0,77.0,4.0,3.0,1.0,5.0,1.0,4.0,2.0,0.1375,10.0,39.8625,32.8,289.9090909090909
Anna Elmose,20,0,0,43.0,32.0,10.0,6.0,88.0,30.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.029166666666666667,5.0,19.970833333333335,8.6,684.7142857142858
Anthony Birchak,30,0,1,209.0,78.0,196.0,71.0,662.0,284.0,40.0,21.0,0.0,8.0,3.0,11.0,3.0,0.6333333333333333,48.0,29.366666666666667,4.354166666666667,46.36842105263158
Anthony Christodoulou,25,0,0,38.0,9.0,38.0,9.0,188.0,68.0,1.0,0.0,0.0,1.0,0.0,7.0,5.0,0.625,2.0,24.375,19.0,39.0
Anthony Hamilton,85,2,2,2320.0,1766.0,1869.0,1342.0,331.0,140.0,968.0,910.0,0.0,116.0,63.0,4.0,1.0,19.65,1084.0,65.35,2.140221402214022,3.3256997455470736
Anthony Johnson,70,1,5,1754.0,911.0,1642.0,811.0,1969.0,901.0,290.0,248.0,0.0,28.0,10.0,106.0,39.0,3.7,318.0,66.3,5.515723270440252,17.918918918918916
Anthony Lapsley,5,0,0,0.0,0.0,0.0,0.0,71.0,32.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.625,1.0,4.375,0.0,7.0
Anthony Njokuani,30,0,0,84.0,30.0,77.0,24.0,313.0,133.0,4.0,3.0,0.0,0.0,0.0,16.0,11.0,0.625,4.0,29.375,21.0,47.0
Anthony Perosh,15,1,0,73.0,55.0,39.0,25.0,890.0,423.0,60.0,50.0,2.0,4.0,2.0,21.0,4.0,1.275,66.0,13.725,1.106060606060606,10.764705882352942
Anthony Pettis,145,3,0,6031.0,3237.0,4927.0,2176.0,5515.0,2660.0,796.0,679.0,24.0,42.0,5.0,124.0,52.0,5.264583333333333,862.0,139.73541666666668,6.996519721577727,26.542540561931148
Anthony Smith,90,0,5,2532.0,1346.0,2333.0,1164.0,2442.0,1086.0,314.0,271.0,11.0,49.0,16.0,77.0,34.0,2.6416666666666666,374.0,87.35833333333333,6.770053475935829,33.06940063091483
Anton Berzin,15,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,14.375,0.0,23.0
Anton Zafir,10,0,0,40.0,31.0,25.0,17.0,632.0,269.0,12.0,11.0,0.0,3.0,1.0,15.0,5.0,0.4,15.0,9.6,2.6666666666666665,23.999999999999996
Antonio Braga Neto,30,0,0,95.0,73.0,32.0,16.0,253.0,113.0,74.0,67.0,0.0,8.0,3.0,8.0,7.0,1.7666666666666666,82.0,28.233333333333334,1.1585365853658536,15.981132075471699
Antonio Carlos Junior,115,5,0,3326.0,1824.0,2280.0,965.0,1696.0,767.0,1371.0,1042.0,33.0,269.0,134.0,66.0,31.0,45.97708333333333,1673.0,69.02291666666667,1.9880454273759713,1.5012460918029817
Antonio Dos Santos,15,0,0,75.0,39.0,73.0,37.0,55.0,45.0,5.0,2.0,0.0,0.0,0.0,1.0,0.0,0.09583333333333334,5.0,14.904166666666667,15.0,155.52173913043478
Antonio Silva,35,0,1,241.0,139.0,196.0,100.0,974.0,414.0,6.0,3.0,0.0,3.0,0.0,47.0,17.0,0.625,9.0,34.375,26.77777777777778,55.0
Ariel Beck,10,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.625,1.0,9.375,0.0,15.0
Arjan Bhullar,25,0,0,96.0,60.0,50.0,24.0,225.0,112.0,27.0,17.0,0.0,1.0,1.0,31.0,11.0,0.6104166666666667,28.0,24.389583333333334,3.4285714285714284,39.955631399317404
Arnold Allen,60,2,0,602.0,254.0,501.0,163.0,433.0,216.0,108.0,94.0,4.0,26.0,14.0,38.0,14.0,2.275,138.0,57.725,4.36231884057971,25.373626373626376
Artem Lobov,100,0,0,1606.0,688.0,1434.0,548.0,2193.0,962.0,133.0,108.0,0.0,13.0,4.0,46.0,16.0,7.075,146.0,92.925,11.0,13.134275618374557
Ashkan Mokhtarian,30,0,0,29.0,15.0,23.0,12.0,811.0,300.0,8.0,5.0,0.0,3.0,1.0,22.0,3.0,0.2708333333333333,11.0,29.729166666666668,2.6363636363636362,109.76923076923079
Ashlee Evans-Smith,70,2,1,1982.0,900.0,1664.0,633.0,1314.0,535.0,293.0,229.0,0.0,43.0,15.0,29.0,11.0,4.729166666666667,336.0,65.27083333333333,5.898809523809524,13.801762114537443
Ashley Yoder,45,0,0,449.0,208.0,340.0,114.0,593.0,307.0,102.0,87.0,0.0,10.0,5.0,11.0,3.0,3.1041666666666665,112.0,41.895833333333336,4.008928571428571,13.496644295302016
