Name,estimated_minutes,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Significant Strikes Landed per Minute,Str. Acc. - Significant Striking Accuracy,Significant Strikes Absorbed per Minute,Significant Strike Defence (% of Opponents Strikes Missed),Average Takedowns Landed per minute,TD Acc. - Takedown Accuracy,Takedown Defense (% of opponents TD attempts missed),Sub. Avg. - Average Submissions Attempted per minute
Pawel Pawlak,45,228.0,72.0,95.0,49.0,0.0,4.0,3.0,4.0,2.0,1.6,0.3157894736842105,1.0888888888888888,1.0222222222222221,2.111111111111111,0.75,0.5,0.0
Pearl Gonzalez,30,112.0,37.0,26.0,13.0,1.0,3.0,2.0,1.0,1.0,1.2333333333333334,0.33035714285714285,0.43333333333333335,0.43333333333333335,0.8666666666666667,0.6666666666666666,0.0,0.03333333333333333
Pedro Munhoz,105,3518.0,1385.0,2099.0,1007.0,38.0,126.0,31.0,119.0,60.0,13.19047619047619,0.3936895963615691,9.59047619047619,10.4,19.99047619047619,0.24603174603174602,0.4957983193277311,0.3619047619047619
Peter Petties,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Peter Sobotta,65,824.0,387.0,1461.0,643.0,6.0,43.0,29.0,51.0,20.0,5.953846153846154,0.4696601941747573,9.892307692307693,12.584615384615384,22.476923076923075,0.6744186046511628,0.6078431372549019,0.09230769230769231
Petr Yan,20,40.0,25.0,583.0,267.0,0.0,0.0,0.0,16.0,3.0,1.25,0.625,13.35,15.8,29.15,0.0,0.8125,0.0
Phil Davis,45,463.0,95.0,371.0,176.0,0.0,34.0,9.0,45.0,16.0,2.111111111111111,0.20518358531317496,3.911111111111111,4.333333333333333,8.244444444444444,0.2647058823529412,0.6444444444444445,0.0
Phil Harris,20,4.0,3.0,114.0,47.0,0.0,2.0,0.0,1.0,0.0,0.15,0.75,2.35,3.35,5.7,0.0,1.0,0.0
Phil Hawes,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Phillipe Nover,60,367.0,115.0,1223.0,455.0,0.0,46.0,18.0,28.0,8.0,1.9166666666666667,0.3133514986376022,7.583333333333333,12.8,20.383333333333333,0.391304347826087,0.7142857142857143,0.0
Piotr Hallmann,55,616.0,301.0,215.0,87.0,3.0,36.0,14.0,27.0,12.0,5.472727272727273,0.48863636363636365,1.5818181818181818,2.327272727272727,3.909090909090909,0.3888888888888889,0.5555555555555556,0.05454545454545454
Poliana Botelho,20,105.0,67.0,396.0,172.0,0.0,1.0,1.0,3.0,2.0,3.35,0.638095238095238,8.6,11.2,19.8,1.0,0.3333333333333333,0.0
Polo Reyes,45,1395.0,561.0,779.0,302.0,0.0,0.0,0.0,11.0,3.0,12.466666666666667,0.4021505376344086,6.711111111111111,10.6,17.31111111111111,0.0,0.7272727272727273,0.0
Polyana Viana,20,18.0,12.0,476.0,183.0,3.0,2.0,1.0,5.0,1.0,0.6,0.6666666666666666,9.15,14.65,23.8,0.5,0.8,0.15
Priscila Cachoeira,10,0.0,0.0,507.0,232.0,0.0,0.0,0.0,20.0,10.0,0.0,0.0,23.2,27.5,50.7,0.0,0.5,0.0
Quinn Mulhern,15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rachael Ostovich,20,13.0,3.0,17.0,6.0,1.0,1.0,1.0,0.0,0.0,0.15,0.23076923076923078,0.3,0.55,0.85,1.0,0.0,0.05
Rafael Dos Anjos,100,5034.0,2587.0,5071.0,2378.0,23.0,137.0,83.0,196.0,87.0,25.87,0.5139054429876837,23.78,26.93,50.71,0.6058394160583942,0.5561224489795918,0.23
Rafael Feijao,45,119.0,43.0,553.0,284.0,0.0,0.0,0.0,47.0,23.0,0.9555555555555556,0.36134453781512604,6.311111111111111,5.977777777777778,12.28888888888889,0.0,0.5106382978723404,0.0
Rafael Natal,100,2674.0,1267.0,1395.0,622.0,0.0,253.0,75.0,22.0,8.0,12.67,0.4738219895287958,6.22,7.73,13.95,0.2964426877470356,0.6363636363636364,0.0
Rafael dos Anjos,75,1051.0,542.0,905.0,434.0,12.0,27.0,21.0,21.0,8.0,7.226666666666667,0.5156993339676499,5.786666666666667,6.28,12.066666666666666,0.7777777777777778,0.6190476190476191,0.16
Rafaello Oliveira,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Ramazan Emeev,45,226.0,115.0,1031.0,480.0,0.0,24.0,5.0,22.0,4.0,2.5555555555555554,0.5088495575221239,10.666666666666666,12.244444444444444,22.91111111111111,0.20833333333333334,0.8181818181818182,0.0
Rampage Jackson,15,0.0,0.0,271.0,162.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.8,7.266666666666667,18.066666666666666,0.0,0.0,0.0
Ramsey Nijem,45,499.0,224.0,31.0,16.0,5.0,27.0,19.0,1.0,1.0,4.977777777777778,0.44889779559118237,0.35555555555555557,0.3333333333333333,0.6888888888888889,0.7037037037037037,0.0,0.1111111111111111
Randa Markos,140,4558.0,1855.0,2022.0,922.0,14.0,212.0,60.0,79.0,27.0,13.25,0.4069767441860465,6.585714285714285,7.857142857142857,14.442857142857143,0.2830188679245283,0.6582278481012658,0.1
Randy Brown,90,1469.0,657.0,1031.0,383.0,15.0,45.0,14.0,41.0,20.0,7.3,0.4472430224642614,4.2555555555555555,7.2,11.455555555555556,0.3111111111111111,0.5121951219512195,0.16666666666666666
Rani Yahya,100,1788.0,699.0,1858.0,797.0,41.0,230.0,95.0,66.0,25.0,6.99,0.39093959731543626,7.97,10.61,18.58,0.41304347826086957,0.6212121212121212,0.41
Raoni Barcelos,15,0.0,0.0,98.0,47.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1333333333333333,3.4,6.533333333333333,0.0,0.0,0.0
Raphael Assuncao,105,3186.0,1420.0,2785.0,1194.0,0.0,58.0,28.0,82.0,32.0,13.523809523809524,0.44569993722536094,11.371428571428572,15.152380952380952,26.523809523809526,0.4827586206896552,0.6097560975609756,0.0
Raquel Pennington,115,2763.0,1302.0,1973.0,934.0,29.0,89.0,35.0,65.0,19.0,11.321739130434782,0.47122692725298587,8.121739130434783,9.034782608695652,17.156521739130437,0.39325842696629215,0.7076923076923077,0.25217391304347825
Rashad Coulter,25,185.0,82.0,339.0,119.0,0.0,2.0,0.0,7.0,0.0,3.28,0.44324324324324327,4.76,8.8,13.56,0.0,1.0,0.0
Rashad Evans,55,807.0,244.0,2453.0,1098.0,0.0,28.0,4.0,91.0,35.0,4.4363636363636365,0.3023543990086741,19.963636363636365,24.636363636363637,44.6,0.14285714285714285,0.6153846153846154,0.0
Rashid Magomedov,90,1860.0,956.0,1569.0,703.0,5.0,12.0,8.0,49.0,20.0,10.622222222222222,0.513978494623656,7.811111111111111,9.622222222222222,17.433333333333334,0.6666666666666666,0.5918367346938775,0.05555555555555555
Ray Borg,120,855.0,433.0,2252.0,1164.0,56.0,150.0,89.0,138.0,64.0,3.6083333333333334,0.5064327485380117,9.7,9.066666666666666,18.766666666666666,0.5933333333333334,0.5362318840579711,0.4666666666666667
