Name,estimated_minutes,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Total Striking Time to Grappling Action Time Ratio
Brandon Thatch,45,566.0,226.0,510.0,178.0,500.0,265.0,46.0,38.0,0.0,11.0,7.0,15.0,8.0,0.11,57.0,44.89,9.929824561403509,8.978
Brendan O'Reilly,50,638.0,400.0,337.0,137.0,696.0,322.0,239.0,187.0,2.0,30.0,13.0,23.0,9.0,1.6322222222222222,271.0,48.367777777777775,2.3542435424354244,9.673555555555556
Brendan Schaub,20,136.0,65.0,88.0,30.0,156.0,60.0,79.0,46.0,0.0,5.0,1.0,1.0,0.0,0.0,84.0,20.0,1.619047619047619,4.0
Brett Johns,65,1514.0,1082.0,739.0,393.0,2639.0,1115.0,965.0,837.0,5.0,80.0,54.0,90.0,29.0,7.2,1050.0,57.8,1.4419047619047618,8.027777777777777
Brian Camozzi,30,257.0,74.0,252.0,69.0,873.0,376.0,5.0,5.0,2.0,6.0,0.0,16.0,6.0,0.0,13.0,30.0,19.76923076923077,6.0
Brian Ebersole,20,156.0,104.0,94.0,49.0,253.0,105.0,52.0,45.0,0.0,5.0,1.0,11.0,6.0,0.34444444444444444,57.0,19.655555555555555,2.736842105263158,3.931111111111111
Brian Kelleher,55,770.0,435.0,605.0,292.0,3513.0,1362.0,120.0,98.0,6.0,15.0,6.0,74.0,32.0,1.0,141.0,54.0,5.460992907801418,10.8
Brian Ortega,80,2166.0,782.0,2058.0,679.0,3168.0,1509.0,204.0,159.0,29.0,27.0,6.0,114.0,44.0,0.8844444444444445,260.0,79.11555555555556,8.330769230769231,15.823111111111112
Bruno Santos,30,82.0,45.0,51.0,25.0,103.0,73.0,37.0,22.0,0.0,6.0,4.0,3.0,3.0,0.83,43.0,29.17,1.9069767441860466,5.8340000000000005
Bryan Barberena,95,4809.0,2798.0,3740.0,1838.0,2016.0,866.0,881.0,733.0,6.0,27.0,11.0,114.0,48.0,4.346666666666667,914.0,90.65333333333334,5.261487964989059,18.130666666666666
Bryan Caraway,70,1109.0,419.0,935.0,276.0,1030.0,483.0,77.0,65.0,8.0,70.0,17.0,47.0,27.0,2.247777777777778,155.0,67.75222222222222,7.15483870967742,13.550444444444443
Bubba Bush,20,4.0,2.0,4.0,2.0,21.0,13.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,20.0,4.0,4.0
CB Dollaway,80,1711.0,951.0,1388.0,702.0,1697.0,712.0,580.0,410.0,2.0,71.0,38.0,45.0,18.0,8.064444444444444,653.0,71.93555555555555,2.6202143950995405,8.920088178561587
CM Punk,20,8.0,6.0,1.0,0.0,10.0,5.0,7.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,20.0,1.1428571428571428,4.0
Cain Carrizosa,20,3.0,0.0,3.0,0.0,20.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0,3.0,4.0
Cain Velasquez,20,201.0,117.0,169.0,88.0,578.0,293.0,2.0,2.0,0.0,5.0,4.0,14.0,5.0,0.10222222222222223,7.0,19.897777777777776,28.714285714285715,3.9795555555555553
Caio Magalhaes,30,124.0,79.0,114.0,69.0,579.0,255.0,23.0,23.0,0.0,0.0,0.0,29.0,7.0,0.006666666666666667,23.0,29.993333333333332,5.391304347826087,5.998666666666667
Calvin Kattar,45,527.0,246.0,514.0,235.0,1629.0,711.0,46.0,31.0,0.0,7.0,4.0,39.0,19.0,1.32,53.0,43.68,9.943396226415095,8.736
Carla Esparza,115,3993.0,2338.0,2164.0,845.0,2821.0,1089.0,2110.0,1683.0,13.0,290.0,106.0,120.0,52.0,13.952222222222222,2413.0,101.04777777777778,1.6547865727310402,7.242414589472008
