Name,estimated_minutes,submission_wins,ko_tko_wins,Total (R1-R5) Strikes Attempts,Total (R1-R5) Strikes Landed,Total (R1-R5) Significant Strikes Attempts,Total (R1-R5) Significant Strikes Landed,Opponent Total (R1-R5) Significant Strikes Attempts,Opponent Total (R1-R5) Significant Strikes Landed,Total (R1-R5) Ground Total Strikes_Attempts,Total (R1-R5) Ground Total Strikes_Landed,Total_R1-R5_Grappling_Submissions_Attempts,Total (R1-R5) Grappling Takedowns Attempts,Total (R1-R5) Grappling Takedowns Landed,Opponent Total (R1-R5) Grappling Takedowns Attempts,Opponent Total (R1-R5) Grappling Takedowns Landed,Total (R1-R5) Grappling Time,Total (R1-R5) Grappling Actions(Grd. Strikes + (Sub & TD Attempts),"Total (R1-R5) Striking, Standing, and Clinch Time",Total Striking Attempts to Grappling Action Attempts Ratio,Percentile_Rank_Striking_to_grappling_attempts_ratio,Total Striking Time to Grappling Action Time Ratio,Percentile_Rank_Striking_to_grappling_Time_ratio
Mike Rio,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,9.375,0,0,15,0.304
Mike Rodriguez,20,0,1,20,7,20,7,271,144,2,2,0,0,0,16,6,0.625,2,19.375,10,0.791,31,0.593
Mike Santiago,35,0,1,470,245,380,167,264,99,71,55,2,24,9,19,5,1.016666667,97,33.98333333,4.845360825,0.608,33.42622951,0.651
Mike Swick,15,0,0,0,0,0,0,174,66,0,0,0,0,0,18,11,0.625,1,14.375,0,0,23,0.435
Mike Wilkinson,20,0,1,16,7,15,6,19,11,6,4,0,1,0,1,1,0.625,7,19.375,2.285714286,0.344,31,0.593
Mike de la Torre,55,0,1,2233,1258,1460,539,1113,514,90,81,0,25,6,38,14,0.108333333,115,54.89166667,19.4173913,0.891,506.6923077,0.948
Milana Dudieva,35,0,0,184,106,77,22,722,237,98,79,0,12,5,4,1,0.508333333,110,34.49166667,1.672727273,0.263,67.85245902,0.802
Minotauro Nogueira,20,0,0,37,12,37,12,5,2,0,0,0,0,0,0,0,0.625,1,19.375,37,0.945,31,0.593
Mirko Cro Cop,15,0,1,0,0,0,0,94,35,0,0,0,0,0,6,1,0.625,1,14.375,0,0,23,0.435
Mirsad Bektic,80,1,2,2857,1926,1355,632,2167,869,1919,1560,6,97,54,130,40,29.84166667,2022,50.15833333,1.412957468,0.227,1.680815415,0.005
Misha Cirkunov,45,3,1,1201,774,734,405,1162,576,452,368,9,59,34,30,9,5.041666667,520,39.95833333,2.309615385,0.347,7.925619835,0.172
Mitch Clarke,40,1,0,388,223,307,155,973,367,57,49,3,8,0,22,7,0.625,68,39.375,5.705882353,0.66,63,0.792
Mitch Gagnon,50,1,0,587,357,439,209,353,95,98,87,17,20,8,1,1,0.625,135,49.375,4.348148148,0.575,79,0.816
Mizuto Hirota,60,0,0,1314,681,926,346,1632,642,427,331,0,34,18,18,12,4.841666667,461,55.15833333,2.85032538,0.428,11.39242685,0.251
Molly McCann,10,0,0,0,0,0,0,6,2,0,0,0,0,0,1,1,0.625,1,9.375,0,0,15,0.304
Montana De La Rosa,20,2,0,19,8,17,6,13,3,0,0,1,0,0,1,1,0.625,1,19.375,19,0.887,31,0.593
Montel Jackson,15,0,0,0,0,0,0,203,82,0,0,0,0,0,26,16,0.625,1,14.375,0,0,23,0.435
Muslim Salikhov,20,0,1,27,10,27,10,523,159,0,0,0,0,0,37,20,0.625,1,19.375,27,0.921,31,0.593
Myles Jury,65,0,2,1386,601,1273,514,1924,951,240,171,0,56,26,71,20,3.458333333,296,61.54166667,4.682432432,0.596,17.79518072,0.388
Nad Narimani,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Nadia Kassem,15,0,0,0,0,0,0,171,86,0,0,0,0,0,10,3,0.625,1,14.375,0,0,23,0.435
Nam Phan,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Naoki Inoue,30,0,0,228,151,116,62,213,68,143,107,5,2,0,3,1,1.995833333,150,28.00416667,1.52,0.245,14.03131524,0.291
Naoyuki Kotani,35,0,0,120,45,96,21,304,109,18,17,0,15,1,37,8,0.25,33,34.75,3.636363636,0.507,139,0.877
Nasrat Haqparast,30,0,0,94,43,75,27,529,205,18,14,0,1,1,36,18,0.2375,19,29.7625,4.947368421,0.615,125.3157895,0.865
Nate Diaz,65,1,0,1212,556,1064,422,1439,589,129,118,2,1,1,11,6,0.079166667,132,64.92083333,9.181818182,0.778,820.0526316,0.966
Nate Marquardt,100,1,2,1831,1038,1505,747,2202,958,335,285,8,89,25,64,28,10.14583333,432,89.85416667,4.238425926,0.567,8.856262834,0.193
Nathan Coy,25,0,0,212,99,166,59,645,198,66,58,0,7,5,19,7,2.0375,73,22.9625,2.904109589,0.434,11.26993865,0.246
Nathaniel Wood,10,1,0,0,0,0,0,128,57,0,0,0,0,0,3,0,0.625,1,9.375,0,0,15,0.304
Nazareno Malegarie,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.625,1,14.375,0,0,23,0.435
Neil Magny,205,1,5,17664,10408,12705,5947,4862,2143,5804,4906,26,638,281,162,64,48.20416667,6468,156.7958333,2.730983302,0.399,3.252744403,0.034
