class,striking_to_grappling_attempts_ratio
Grappler,1.8
Grappler,1.78
Grappler,1.76
Grappler,1.71
Grappler,1.71
Grappler,1.7
Grappler,1.7
Grappler,1.69
Grappler,1.69
Grappler,1.67
Grappler,1.67
Grappler,1.67
Grappler,1.67
Grappler,1.66
Grappler,1.66
Grappler,1.65
Grappler,1.63
Striker,1.62
Striker,1.61
Grappler,1.58
Grappler,1.58
Grappler,1.58
Grappler,1.57
Grappler,1.56
Grappler,1.55
Grappler,1.54
Grappler,1.54
Grappler,1.52
Grappler,1.52
Grappler,1.52
Grappler,1.51
Grappler,1.5
Grappler,1.5
Grappler,1.49
Grappler,1.49
Grappler,1.49
Grappler,1.48
Striker,1.48
Grappler,1.47
Grappler,1.47
Grappler,1.47
Striker,1.46
Grappler,1.45
Grappler,1.45
Grappler,1.45
Grappler,1.45
Grappler,1.44
Grappler,1.43
Striker,1.41
Grappler,1.39
Striker,1.38
Grappler,1.37
Grappler,1.36
Grappler,1.34
Grappler,1.34
Grappler,1.34
Grappler,1.33
Grappler,1.33
Grappler,1.33
Grappler,1.32
Grappler,1.32
Grappler,1.3
Grappler,1.3
Grappler,1.29
Grappler,1.25
Grappler,1.25
Grappler,1.25
Grappler,1.24
Grappler,1.23
Grappler,1.23
Grappler,1.22
Grappler,1.19
Striker,1.18
Grappler,1.17
Grappler,1.16
Grappler,1.15
Grappler,1.14
Grappler,1.14
Grappler,1.13
Grappler,1.11
Grappler,1.1
Grappler,1.08
Grappler,1.08
Grappler,1.07
Grappler,1.06
Grappler,1.06
Grappler,1.05
Grappler,1.05
Grappler,1
Grappler,1
Grappler,0.91
Grappler,0.89
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Striker,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,0
Grappler,
